code,name,tree
9452,纵向垄断协议纠纷,9452-9450-9449-9299-9000-
9453,滥用市场支配地位纠纷,9453-9449-9299-9000-
9454,垄断定价纠纷,9454-9453-9449-9299-9000-
9455,掠夺定价纠纷,9455-9453-9449-9299-9000-
9456,拒绝交易纠纷,9456-9453-9449-9299-9000-
9457,限定交易纠纷,9457-9453-9449-9299-9000-
9458,捆绑交易纠纷,9458-9453-9449-9299-9000-
9459,差别待遇纠纷,9459-9453-9449-9299-9000-
9460,经营者集中纠纷,9460-9449-9299-9000-
9461,劳动争议、人事争议,9461-9000-
9462,劳动争议,9462-9461-9000-
9463,劳动合同纠纷,9463-9462-9461-9000-
9464,确认劳动关系纠纷,9464-9463-9462-9461-9000-
9465,集体合同纠纷,9465-9463-9462-9461-9000-
9466,劳务派遣合同纠纷,9466-9463-9462-9461-9000-
9467,非全日制用工纠纷,9467-9463-9462-9461-9000-
9468,追索劳动报酬纠纷,9468-9463-9462-9461-9000-
9469,经济补偿金纠纷,9469-9463-9462-9461-9000-
9470,竞业限制纠纷,9470-9463-9462-9461-9000-
9471,社会保险纠纷,9471-9462-9461-9000-
9472,养老保险待遇纠纷,9472-9471-9462-9461-9000-
9473,工伤保险待遇纠纷,9473-9471-9462-9461-9000-
9474,医疗保险待遇纠纷,9474-9471-9462-9461-9000-
9475,生育保险待遇纠纷,9475-9471-9462-9461-9000-
9476,失业保险待遇纠纷,9476-9471-9462-9461-9000-
9477,福利待遇纠纷,9477-9462-9461-9000-
9478,人事争议,9478-9461-9000-
9479,人事争议,9479-9478-9461-9000-
9480,辞职争议,9480-9479-9478-9461-9000-
9481,辞退争议,9481-9479-9478-9461-9000-
9482,聘用合同争议,9482-9479-9478-9461-9000-
9483,海事海商纠纷,9483-9000-
9484,海事海商纠纷,9484-9483-9000-
9485,船舶碰撞损害责任纠纷,9485-9484-9483-9000-
9486,船舶触碰损害责任纠纷,9486-9484-9483-9000-
9487,船舶损坏空中设施、水下设施损害责任纠纷,9487-9484-9483-9000-
9488,船舶污染损害责任纠纷,9488-9484-9483-9000-
9489,海上、通海水域污染损害责任纠纷,9489-9484-9483-9000-
9490,海上、通海水域养殖损害责任纠纷,9490-9484-9483-9000-
9491,海上、通海水域财产损害责任纠纷,9491-9484-9483-9000-
9492,海上、通海水域人身损害责任纠纷,9492-9484-9483-9000-
9493,非法留置船舶、船载货物、船用燃油、船用物料损害责任纠纷,9493-9484-9483-9000-
9494,海上、通海水域货物运输合同纠纷,9494-9484-9483-9000-
9495,海上、通海水域旅客运输合同纠纷,9495-9484-9483-9000-
9496,海上、通海水域行李运输合同纠纷,9496-9484-9483-9000-
9497,船舶经营管理合同纠纷,9497-9484-9483-9000-
9498,船舶买卖合同纠纷,9498-9484-9483-9000-
9499,船舶建造合同纠纷,9499-9484-9483-9000-
9500,船舶修理合同纠纷,9500-9484-9483-9000-
9501,船舶改建合同纠纷,9501-9484-9483-9000-
9502,船舶拆解合同纠纷,9502-9484-9483-9000-
9503,船舶抵押合同纠纷,9503-9484-9483-9000-
9504,航次租船合同纠纷,9504-9484-9483-9000-
9505,船舶租用合同纠纷,9505-9484-9483-9000-
9506,定期租船合同纠纷,9506-9505-9484-9483-9000-
9507,光船租赁合同纠纷,9507-9505-9484-9483-9000-
9508,船舶融资租赁合同纠纷,9508-9484-9483-9000-
9509,海上、通海水域运输船舶承包合同纠纷,9509-9484-9483-9000-
9510,渔船承包合同纠纷,9510-9484-9483-9000-
9511,船舶属具租赁合同纠纷,9511-9484-9483-9000-
9512,船舶属具保管合同纠纷,9512-9484-9483-9000-
9513,海运集装箱租赁合同纠纷,9513-9484-9483-9000-
9514,海运集装箱保管合同纠纷,9514-9484-9483-9000-
9515,港口货物保管合同纠纷,9515-9484-9483-9000-
9516,船舶代理合同纠纷,9516-9484-9483-9000-
9517,海上、通海水域货运代理合同纠纷,9517-9484-9483-9000-
9518,理货合同纠纷,9518-9484-9483-9000-
9519,船舶物料和备品供应合同纠纷,9519-9484-9483-9000-
9520,船员劳务合同纠纷,9520-9484-9483-9000-
9521,海难救助合同纠纷,9521-9484-9483-9000-
9522,海上、通海水域打捞合同纠纷,9522-9484-9483-9000-
9523,海上、通海水域拖航合同纠纷,9523-9484-9483-9000-
9524,海上、通海水域保险合同纠纷,9524-9484-9483-9000-
9525,海上、通海水域保赔合同纠纷,9525-9484-9483-9000-
9526,海上、通海水域运输联营合同纠纷,9526-9484-9483-9000-
9527,船舶营运借款合同纠纷,9527-9484-9483-9000-
9528,海事担保合同纠纷,9528-9484-9483-9000-
9529,航道、港口疏浚合同纠纷,9529-9484-9483-9000-
9530,船坞、码头建造合同纠纷,9530-9484-9483-9000-
9531,船舶检验合同纠纷,9531-9484-9483-9000-
9532,海事请求担保纠纷,9532-9484-9483-9000-
9533,海上、通海水域运输重大责任事故责任纠纷,9533-9484-9483-9000-
9534,港口作业重大责任事故责任纠纷,9534-9484-9483-9000-
9535,港口作业纠纷,9535-9484-9483-9000-
9536,共同海损纠纷,9536-9484-9483-9000-
9537,海洋开发利用纠纷,9537-9484-9483-9000-
9538,船舶共有纠纷,9538-9484-9483-9000-
9539,船舶权属纠纷,9539-9484-9483-9000-
9540,海运欺诈纠纷,9540-9484-9483-9000-
9541,海事债权确权纠纷,9541-9484-9483-9000-
9542,与公司、证券、保险、票据等有关的民事纠纷,9542-9000-
9543,与企业有关的纠纷,9543-9542-9000-
9544,企业出资人权益确认纠纷,9544-9543-9542-9000-
9545,侵害企业出资人权益纠纷,9545-9543-9542-9000-
9546,企业公司制改造合同纠纷,9546-9543-9542-9000-
9547,企业股份合作制改造合同纠纷,9547-9543-9542-9000-
9548,企业债权转股权合同纠纷,9548-9543-9542-9000-
9549,企业分立合同纠纷,9549-9543-9542-9000-
9550,企业租赁经营合同纠纷,9550-9543-9542-9000-
9551,企业出售合同纠纷,9551-9543-9542-9000-
9552,挂靠经营合同纠纷,9552-9543-9542-9000-
9553,企业兼并合同纠纷,9553-9543-9542-9000-
9554,联营合同纠纷,9554-9543-9542-9000-
9555,企业承包经营合同纠纷,9555-9543-9542-9000-
9556,中外合资经营企业承包经营合同纠纷,9556-9555-9543-9542-9000-
9557,中外合作经营企业承包经营合同纠纷,9557-9555-9543-9542-9000-
9558,外商独资企业承包经营合同纠纷,9558-9555-9543-9542-9000-
9559,乡镇企业承包经营合同纠纷,9559-9555-9543-9542-9000-
9560,中外合资经营企业合同纠纷,9560-9543-9542-9000-
9561,中外合作经营企业合同纠纷,9561-9543-9542-9000-
9562,与公司有关的纠纷,9562-9542-9000-
9563,股东资格确认纠纷,9563-9562-9542-9000-
9564,股东名册记载纠纷,9564-9562-9542-9000-
9565,请求变更公司登记纠纷,9565-9562-9542-9000-
9566,股东出资纠纷,9566-9562-9542-9000-
9567,新增资本认购纠纷,9567-9562-9542-9000-
9568,股东知情权纠纷,9568-9562-9542-9000-
9569,请求公司收购股份纠纷,9569-9562-9542-9000-
9570,股权转让纠纷,9570-9562-9542-9000-
9571,公司决议纠纷,9571-9562-9542-9000-
9572,公司决议效力确认纠纷,9572-9571-9562-9542-9000-
9573,公司决议撤销纠纷,9573-9571-9562-9542-9000-
9574,公司设立纠纷,9574-9562-9542-9000-
9575,公司证照返还纠纷,9575-9562-9542-9000-
